LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,26-Sep-2016 08:51:58,0                 
Time,Ampl
-9.805739e-008,-0.00304711
-9.785739e-008,-0.00542202
-9.765739e-008,0.00932741
-9.745739e-008,0.0267642
-9.725739e-008,0.0293266
-9.705739e-008,0.0203895
-9.685739e-008,0.0129523
-9.665739e-008,0.00782747
-9.645739e-008,0.00645252
-9.625739e-008,0.0175146
-9.605739e-008,0.0315141
-9.585739e-008,0.0283267
-9.565739e-008,0.0126398
-9.545739e-008,0.00682751
-9.525739e-008,0.0143897
-9.505739e-008,0.0186396
-9.485739e-008,0.0112023
-9.465739e-008,0.00145271
-9.445739e-008,-0.00104719
-9.425739e-008,-0.00254713
-9.405739e-008,-0.0123593
-9.385739e-008,-0.0211714
-9.365739e-008,-0.0167966
-9.345739e-008,-0.00442206
-9.325739e-008,0.00582754
-9.305739e-008,0.0128898
-9.285739e-008,0.0179521
-9.265739e-008,0.0193895
-9.245739e-008,0.0202645
-9.225739e-008,0.0261393
-9.205739e-008,0.0298266
-9.185739e-008,0.0191395
-9.165739e-008,0.0044526
-9.145739e-008,0.00332764
-9.125739e-008,0.00995239
-9.105739e-008,0.0181396
-9.085739e-008,0.0303266
-9.065739e-008,0.033764
-9.045739e-008,0.0188895
-9.025739e-008,-0.000922197
-9.005739e-008,-0.00417207
-8.985739e-008,0.0112648
-8.965739e-008,0.019202
-8.945739e-008,0.0043276
-8.925739e-008,-0.0150467
-8.905739e-008,-0.0141092
-8.885739e-008,0.00270266
-8.865739e-008,0.0095149
-8.845739e-008,0.00770247
-8.825739e-008,0.0130773
-8.805739e-008,0.0177646
-8.785739e-008,0.00945241
-8.765739e-008,-0.00479705
-8.745739e-008,-0.0085469
-8.725739e-008,-0.00485955
-8.705739e-008,-0.0106093
-8.685739e-008,-0.017984
-8.665739e-008,-0.0104218
-8.645739e-008,0.00451509
-8.625739e-008,0.0126398
-8.605739e-008,0.0122023
-8.585739e-008,0.0095774
-8.565739e-008,0.00713999
-8.545739e-008,0.00720249
-8.525739e-008,0.0179521
-8.505739e-008,0.0333265
-8.485739e-008,0.0347639
-8.465739e-008,0.0220769
-8.445739e-008,0.0177021
-8.425739e-008,0.0287017
-8.405739e-008,0.0377013
-8.385739e-008,0.0327015
-8.365739e-008,0.0220769
-8.345739e-008,0.0225144
-8.325739e-008,0.0243893
-8.305739e-008,0.0127023
-8.285739e-008,0.0100149
-8.265739e-008,0.0252018
-8.245739e-008,0.0310766
-8.225739e-008,0.0215769
-8.205739e-008,0.0185771
-8.185739e-008,0.0330765
-8.165739e-008,0.0487009
-8.145739e-008,0.0467635
-8.125739e-008,0.0388888
-8.105739e-008,0.0452635
-8.085739e-008,0.0542632
-8.065739e-008,0.0448885
-8.045739e-008,0.0287017
-8.025739e-008,0.0268267
-8.005739e-008,0.0258268
-7.985739e-008,0.00595254
-7.965739e-008,-0.0124843
-7.945739e-008,-0.00173467
-7.925739e-008,0.0238269
-7.905739e-008,0.0301391
-7.885739e-008,0.0134523
-7.865739e-008,-0.00167217
-7.845739e-008,0.00132772
-7.825739e-008,0.0172646
-7.805739e-008,0.0251393
-7.785739e-008,0.0182021
-7.765739e-008,0.0133898
-7.745739e-008,0.0145772
-7.725739e-008,0.0145147
-7.705739e-008,0.0138897
-7.685739e-008,0.00982739
-7.665739e-008,0.00664001
-7.645739e-008,0.0148897
-7.625739e-008,0.0267017
-7.605739e-008,0.0315766
-7.585739e-008,0.0312016
-7.565739e-008,0.0257643
-7.545739e-008,0.0162646
-7.525739e-008,0.0110148
-7.505739e-008,0.0164521
-7.485739e-008,0.0218894
-7.465739e-008,0.0157022
-7.445739e-008,0.00976489
-7.425739e-008,0.0160772
-7.405739e-008,0.0261393
-7.385739e-008,0.0290767
-7.365739e-008,0.0266392
-7.345739e-008,0.0230769
-7.325739e-008,0.0188895
-7.305739e-008,0.0167021
-7.285739e-008,0.0153897
-7.265739e-008,0.0096399
-7.245739e-008,0.00214019
-7.225739e-008,-0.000359718
-7.205739e-008,0.00332764
-7.185739e-008,0.00920241
-7.165739e-008,0.00782747
-7.145739e-008,-0.00254713
-7.125739e-008,-0.00548452
-7.105739e-008,0.00514007
-7.085739e-008,0.0135147
-7.065739e-008,0.020327
-7.045739e-008,0.033764
-7.025739e-008,0.032264
-7.005739e-008,0.0112648
-6.985739e-008,0.00107773
-6.965739e-008,0.00514007
-6.945739e-008,0.00763997
-6.925739e-008,0.00863994
-6.905739e-008,0.0102024
-6.885739e-008,0.0104524
-6.865739e-008,0.0119523
-6.845739e-008,0.020327
-6.825739e-008,0.0286392
-6.805739e-008,0.0185771
-6.785739e-008,-0.0034221
-6.765739e-008,-0.0110468
-6.745739e-008,-4.72302e-005
-6.725739e-008,0.0157022
-6.705739e-008,0.0247643
-6.685739e-008,0.0185771
-6.665739e-008,0.00576505
-6.645739e-008,0.00582754
-6.625739e-008,0.0142647
-6.605739e-008,0.0148272
-6.585739e-008,0.00988989
-6.565739e-008,0.00832745
-6.545739e-008,0.0095774
-6.525739e-008,0.00645252
-6.505739e-008,-0.00104719
-6.485739e-008,0.00151521
-6.465739e-008,0.0128898
-6.445739e-008,0.0176396
-6.425739e-008,0.0191395
-6.405739e-008,0.0242643
-6.385739e-008,0.0236394
-6.365739e-008,0.00976489
-6.345739e-008,-0.00448456
-6.325739e-008,-0.00242214
-6.305739e-008,0.00895242
-6.285739e-008,0.0117023
-6.265739e-008,0.00657752
-6.245739e-008,0.0100774
-6.225739e-008,0.0211395
-6.205739e-008,0.0215769
-6.185739e-008,0.0138272
-6.165739e-008,0.0113898
-6.145739e-008,0.0133273
-6.125739e-008,0.0186396
-6.105739e-008,0.0255768
-6.085739e-008,0.0300766
-6.065739e-008,0.0292641
-6.045739e-008,0.0216394
-6.025739e-008,0.0174521
-6.005739e-008,0.0187645
-5.985739e-008,0.0165771
-5.965739e-008,0.0191395
-5.945739e-008,0.0307641
-5.925739e-008,0.0377013
-5.905739e-008,0.0359514
-5.885739e-008,0.0312016
-5.865739e-008,0.0245143
-5.845739e-008,0.0198895
-5.825739e-008,0.0225769
-5.805739e-008,0.0308891
-5.785739e-008,0.0405137
-5.765739e-008,0.0389513
-5.745739e-008,0.0213269
-5.725739e-008,0.00826495
-5.705739e-008,0.0160147
-5.685739e-008,0.0288267
-5.665739e-008,0.0221394
-5.645739e-008,0.00745248
-5.625739e-008,0.0112023
-5.605739e-008,0.0215769
-5.585739e-008,0.0153897
