LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,26-Sep-2016 03:41:35,0                 
Time,Ampl
-4.91838e-008,0.0199803
-4.89838e-008,0.0199803
-4.87838e-008,0.0135806
-4.85838e-008,0.0199803
-4.83838e-008,0.0199803
-4.81838e-008,0.0135806
-4.79838e-008,0.0135806
-4.77838e-008,0.00718083
-4.75838e-008,0.0327798
-4.73838e-008,0.0199803
-4.71838e-008,0.0263801
-4.69838e-008,0.0263801
-4.67838e-008,0.0135806
-4.65838e-008,0.0263801
-4.63838e-008,0.0199803
-4.61838e-008,0.0263801
-4.59838e-008,0.0135806
-4.57838e-008,0.0263801
-4.55838e-008,0.0199803
-4.53838e-008,0.0135806
-4.51838e-008,0.000781077
-4.49838e-008,0.00718083
-4.47838e-008,0.0135806
-4.45838e-008,0.00718083
-4.43838e-008,0.0327798
-4.41838e-008,0.00718083
-4.39838e-008,0.000781077
-4.37838e-008,0.0135806
-4.35838e-008,0.0263801
-4.33838e-008,0.0135806
-4.31838e-008,0.0199803
-4.29838e-008,0.0135806
-4.27838e-008,0.000781077
-4.25838e-008,0.0135806
-4.23838e-008,0.00718083
-4.21838e-008,0.0263801
-4.19838e-008,0.0263801
-4.17838e-008,0.0199803
-4.15838e-008,0.0135806
-4.13838e-008,0.0327798
-4.11838e-008,0.00718083
-4.09838e-008,0.0135806
-4.07838e-008,0.0199803
-4.05838e-008,0.0135806
-4.03838e-008,0.0199803
-4.01838e-008,0.00718083
-3.99838e-008,0.0199803
-3.97838e-008,0.0263801
-3.95838e-008,0.0199803
-3.93838e-008,0.0135806
-3.91838e-008,0.00718083
-3.89838e-008,0.0135806
-3.87838e-008,0.0199803
-3.85838e-008,0.0135806
-3.83838e-008,0.0135806
-3.81838e-008,0.00718083
-3.79838e-008,-0.0120184
-3.77838e-008,-0.00561868
-3.75838e-008,0.000781077
-3.73838e-008,-0.00561868
-3.71838e-008,-0.0120184
-3.69838e-008,-0.0184182
-3.67838e-008,-0.0184182
-3.65838e-008,-0.0120184
-3.63838e-008,-0.0248179
-3.61838e-008,-0.0184182
-3.59838e-008,-0.0440172
-3.57838e-008,-0.0440172
-3.55838e-008,-0.0632165
-3.53838e-008,-0.0568167
-3.51838e-008,-0.0696162
-3.49838e-008,-0.0824157
-3.47838e-008,-0.076016
-3.45838e-008,-0.0696162
-3.43838e-008,-0.0888155
-3.41838e-008,-0.101615
-3.39838e-008,-0.108015
-3.37838e-008,-0.114414
-3.35838e-008,-0.114414
-3.33838e-008,-0.114414
-3.31838e-008,-0.120814
-3.29838e-008,-0.120814
-3.27838e-008,-0.114414
-3.25838e-008,-0.127214
-3.23838e-008,-0.133614
-3.21838e-008,-0.120814
-3.19838e-008,-0.127214
-3.17838e-008,-0.133614
-3.15838e-008,-0.140014
-3.13838e-008,-0.133614
-3.11838e-008,-0.133614
-3.09838e-008,-0.120814
-3.07838e-008,-0.133614
-3.05838e-008,-0.140014
-3.03838e-008,-0.133614
-3.01838e-008,-0.133614
-2.99838e-008,-0.127214
-2.97838e-008,-0.127214
-2.95838e-008,-0.114414
-2.93838e-008,-0.114414
-2.91838e-008,-0.108015
-2.89838e-008,-0.114414
-2.87838e-008,-0.0952152
-2.85838e-008,-0.0888155
-2.83838e-008,-0.101615
-2.81838e-008,-0.0952152
-2.79838e-008,-0.0952152
-2.77838e-008,-0.0952152
-2.75838e-008,-0.076016
-2.73838e-008,-0.0888155
-2.71838e-008,-0.076016
-2.69838e-008,-0.0568167
-2.67838e-008,-0.0632165
-2.65838e-008,-0.076016
-2.63838e-008,-0.0632165
-2.61838e-008,-0.0632165
-2.59838e-008,-0.0568167
-2.57838e-008,-0.050417
-2.55838e-008,-0.0632165
-2.53838e-008,-0.0696162
-2.51838e-008,-0.050417
-2.49838e-008,-0.050417
-2.47838e-008,-0.0376174
-2.45838e-008,-0.0440172
-2.43838e-008,-0.0312177
-2.41838e-008,-0.0248179
-2.39838e-008,-0.0312177
-2.37838e-008,-0.0312177
-2.35838e-008,-0.0312177
-2.33838e-008,-0.0248179
-2.31838e-008,-0.0248179
-2.29838e-008,-0.0312177
-2.27838e-008,-0.0376174
-2.25838e-008,-0.0312177
-2.23838e-008,-0.0312177
-2.21838e-008,-0.0312177
-2.19838e-008,-0.0120184
-2.17838e-008,-0.0248179
-2.15838e-008,-0.0312177
-2.13838e-008,-0.0184182
-2.11838e-008,-0.0248179
-2.09838e-008,-0.0184182
-2.07838e-008,-0.0184182
-2.05838e-008,-0.0120184
-2.03838e-008,-0.0120184
-2.01838e-008,-0.0120184
-1.99838e-008,-0.0184182
-1.97838e-008,-0.0248179
-1.95838e-008,-0.0248179
-1.93838e-008,-0.0120184
-1.91838e-008,-0.0184182
-1.89838e-008,0.000781077
-1.87838e-008,-0.0184182
-1.85838e-008,0.000781077
-1.83838e-008,-0.00561868
-1.81838e-008,-0.00561868
-1.79838e-008,-0.00561868
-1.77838e-008,-0.0120184
-1.75838e-008,-0.0120184
-1.73838e-008,-0.0120184
-1.71838e-008,-0.00561868
-1.69838e-008,-0.0184182
-1.67838e-008,-0.0120184
-1.65838e-008,0.000781077
-1.63838e-008,-0.00561868
-1.61838e-008,-0.00561868
-1.59838e-008,-0.0120184
-1.57838e-008,-0.00561868
-1.55838e-008,-0.0120184
-1.53838e-008,-0.00561868
-1.51838e-008,0.00718083
-1.49838e-008,-0.00561868
-1.47838e-008,-0.0120184
-1.45838e-008,-0.00561868
-1.43838e-008,0.000781077
-1.41838e-008,0.000781077
-1.39838e-008,0.000781077
-1.37838e-008,-0.0120184
-1.35838e-008,-0.00561868
-1.33838e-008,-0.00561868
-1.31838e-008,0.000781077
-1.29838e-008,0.00718083
-1.27838e-008,-0.00561868
-1.25838e-008,-0.00561868
-1.23838e-008,0.0135806
-1.21838e-008,0.000781077
-1.19838e-008,0.00718083
-1.17838e-008,0.0135806
-1.15838e-008,0.000781077
-1.13838e-008,0.00718083
-1.11838e-008,-0.00561868
-1.09838e-008,-0.00561868
-1.07838e-008,0.00718083
-1.05838e-008,0.000781077
-1.03838e-008,0.000781077
-1.01838e-008,-0.00561868
-9.983798e-009,0.00718083
-9.783798e-009,0.00718083
