LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,26-Sep-2016 03:41:35,0                 
Time,Ampl
-4.91838e-008,-0.00500614
-4.89838e-008,0.0109932
-4.87838e-008,-0.0210055
-4.85838e-008,0.0109932
-4.83838e-008,-0.0210055
-4.81838e-008,-0.00500614
-4.79838e-008,0.0109932
-4.77838e-008,0.0109932
-4.75838e-008,-0.00500614
-4.73838e-008,0.042992
-4.71838e-008,0.0109932
-4.69838e-008,-0.00500614
-4.67838e-008,-0.0210055
-4.65838e-008,0.0109932
-4.63838e-008,-0.00500614
-4.61838e-008,0.0109932
-4.59838e-008,-0.00500614
-4.57838e-008,-0.00500614
-4.55838e-008,0.0269926
-4.53838e-008,0.0269926
-4.51838e-008,-0.00500614
-4.49838e-008,0.0269926
-4.47838e-008,0.0109932
-4.45838e-008,0.0109932
-4.43838e-008,-0.00500614
-4.41838e-008,-0.0210055
-4.39838e-008,-0.00500614
-4.37838e-008,0.0109932
-4.35838e-008,-0.00500614
-4.33838e-008,0.0269926
-4.31838e-008,0.0109932
-4.29838e-008,0.042992
-4.27838e-008,0.0109932
-4.25838e-008,0.0109932
-4.23838e-008,0.0269926
-4.21838e-008,0.0109932
-4.19838e-008,0.0109932
-4.17838e-008,-0.0210055
-4.15838e-008,-0.00500614
-4.13838e-008,-0.00500614
-4.11838e-008,-0.00500614
-4.09838e-008,-0.00500614
-4.07838e-008,-0.00500614
-4.05838e-008,0.0269926
-4.03838e-008,0.0109932
-4.01838e-008,0.0109932
-3.99838e-008,0.0109932
-3.97838e-008,0.0109932
-3.95838e-008,0.0109932
-3.93838e-008,-0.0210055
-3.91838e-008,-0.00500614
-3.89838e-008,-0.00500614
-3.87838e-008,-0.00500614
-3.85838e-008,0.0109932
-3.83838e-008,-0.00500614
-3.81838e-008,0.0109932
-3.79838e-008,0.0109932
-3.77838e-008,-0.00500614
-3.75838e-008,0.0109932
-3.73838e-008,-0.0210055
-3.71838e-008,0.0109932
-3.69838e-008,0.0109932
-3.67838e-008,0.0109932
-3.65838e-008,-0.00500614
-3.63838e-008,0.042992
-3.61838e-008,0.0109932
-3.59838e-008,-0.00500614
-3.57838e-008,-0.00500614
-3.55838e-008,0.0109932
-3.53838e-008,0.0109932
-3.51838e-008,-0.00500614
-3.49838e-008,-0.00500614
-3.47838e-008,0.0109932
-3.45838e-008,0.0269926
-3.43838e-008,0.0109932
-3.41838e-008,-0.0370049
-3.39838e-008,0.0109932
-3.37838e-008,-0.00500614
-3.35838e-008,0.0269926
-3.33838e-008,0.0109932
-3.31838e-008,-0.00500614
-3.29838e-008,0.0269926
-3.27838e-008,0.0109932
-3.25838e-008,0.0109932
-3.23838e-008,0.0269926
-3.21838e-008,-0.0370049
-3.19838e-008,-0.00500614
-3.17838e-008,0.0109932
-3.15838e-008,0.0109932
-3.13838e-008,0.0109932
-3.11838e-008,0.0109932
-3.09838e-008,0.042992
-3.07838e-008,0.0109932
-3.05838e-008,0.0109932
-3.03838e-008,0.0269926
-3.01838e-008,0.0109932
-2.99838e-008,-0.00500614
-2.97838e-008,0.0109932
-2.95838e-008,0.0109932
-2.93838e-008,-0.00500614
-2.91838e-008,-0.00500614
-2.89838e-008,-0.00500614
-2.87838e-008,-0.00500614
-2.85838e-008,0.0269926
-2.83838e-008,0.0109932
-2.81838e-008,-0.0370049
-2.79838e-008,-0.00500614
-2.77838e-008,0.0109932
-2.75838e-008,0.0109932
-2.73838e-008,0.0109932
-2.71838e-008,0.0269926
-2.69838e-008,0.0269926
-2.67838e-008,0.0269926
-2.65838e-008,0.0109932
-2.63838e-008,0.0269926
-2.61838e-008,-0.00500614
-2.59838e-008,0.0109932
-2.57838e-008,-0.0210055
-2.55838e-008,0.0269926
-2.53838e-008,0.0109932
-2.51838e-008,-0.00500614
-2.49838e-008,0.0109932
-2.47838e-008,0.0269926
-2.45838e-008,-0.00500614
-2.43838e-008,-0.0210055
-2.41838e-008,0.0109932
-2.39838e-008,0.042992
-2.37838e-008,0.0109932
-2.35838e-008,-0.00500614
-2.33838e-008,-0.00500614
-2.31838e-008,0.042992
-2.29838e-008,0.0109932
-2.27838e-008,-0.00500614
-2.25838e-008,0.0109932
-2.23838e-008,0.0269926
-2.21838e-008,-0.00500614
-2.19838e-008,0.0109932
-2.17838e-008,0.0109932
-2.15838e-008,-0.00500614
-2.13838e-008,-0.00500614
-2.11838e-008,0.0109932
-2.09838e-008,-0.0370049
-2.07838e-008,0.0109932
-2.05838e-008,-0.00500614
-2.03838e-008,0.0109932
-2.01838e-008,0.0269926
-1.99838e-008,-0.00500614
-1.97838e-008,0.0269926
-1.95838e-008,-0.00500614
-1.93838e-008,-0.00500614
-1.91838e-008,-0.00500614
-1.89838e-008,-0.0210055
-1.87838e-008,0.0109932
-1.85838e-008,0.0109932
-1.83838e-008,0.0109932
-1.81838e-008,-0.00500614
-1.79838e-008,-0.0210055
-1.77838e-008,0.0109932
-1.75838e-008,-0.00500614
-1.73838e-008,-0.00500614
-1.71838e-008,0.0109932
-1.69838e-008,-0.00500614
-1.67838e-008,-0.00500614
-1.65838e-008,0.0109932
-1.63838e-008,-0.0210055
-1.61838e-008,-0.00500614
-1.59838e-008,0.0109932
-1.57838e-008,-0.00500614
-1.55838e-008,-0.0210055
-1.53838e-008,0.0109932
-1.51838e-008,0.0269926
-1.49838e-008,0.0109932
-1.47838e-008,-0.00500614
-1.45838e-008,0.0109932
-1.43838e-008,0.0109932
